slug,humandate,start,end,tags,venue,address,contact,eventbrite_id,url
2017-03-02-manchester,"Mar 02-03, 2017",2017-03-02,2017-03-03,SWC,"EPSRC & MRC Centre for Doctoral Training in Regenerative Medicine, University of Manchester","C24 Sackville St Building, 60 Sackville St, Manchester M1 3WE","Jenefer.Cockitt@manchester.ac.uk, a.nenadic@manchester.ac.uk","",https://anenadic.github.io/2017-03-02-manchester/
2017-02-13-oxford,"Feb 13-14, 2017",2017-02-13,2017-02-14,SWC,University of Oxford,"The Oxford Research Centre in the Humanities, Woodstock Rd, Oxford OX2","mc983@cam.ac.uk, martin.hadley@it.ox.ac.uk",31594116854,https://rroxford.github.io/2017-02-13-oxford/
2017-01-26-imperial,"Jan 26-27, 2017",2017-01-26,2017-01-27,SWC,Imperial College London,"ICT Training Room, 204 Central Library Sherfield Building, Exhibition Road, South Kensington, London, SW7 2AZ",liz.ing-simmons12@csc.mrc.ac.ukrob@beagrie.com,"",https://rbeagrie.github.io/2017-01-26-imperial/
2017-01-18-bristol,"Jan 18-20, 2017",2017-01-18,2017-01-20,SWC,NERC / The University of Bristol,"School of Earth Sciences, University of Bristol, Wills Memorial Building, Queens Road,Bristol BS8 1RJ",a.walker@leeds.ac.uk,28555929554,https://andreww.github.io/2017-01-18-bristol/
2017-01-18-CAM,"Jan 18-19, 2017",2017-01-18,2017-01-19,DC,University of Cambridge,"Bioinformatics Training Room, Craik-Marshall Building, Downing Site",Gabriella Rustici <gr231@cam.ac.uk>,"",https://lgatto.github.io/2017-01-18-CAM/
2017-01-09-oxford,"Jan 09-10, 2017",2017-01-09,2017-01-10,SWC,University of Oxford,"The Oxford Research Centre in the Humanities, Woodstock Rd, Oxford OX2",philip.fowler@ndm.ox.ac.ukiain.emsley@oerc.ox.ac.uk,30089327990,https://rroxford.github.io/2017-01-09-oxford/
2017-01-04-bristol,"Jan 04-06, 2017",2017-01-04,2017-01-06,SWC,NERC / The University of Bristol,"School of Earth Sciences, University of Bristol, Wills Memorial Building, Queens Road,Bristol BS8 1RJ",a.walker@leeds.ac.uk,28537050085,https://andreww.github.io/2017-01-04-bristol/
2016-12-05-oxford,"Dec 05-07, 2016",2016-12-05,2016-12-07,SWC,"Medical Sciences Teaching Centre, University of Oxford","Medical Sciences Teaching Centre, Lower Ground Seminar Rooms (LGa and LGb), Sherard Road (off South Parks Road), Oxford, OX1 3PL",a.nenadic@manchester.ac.ukmichal.gdula@bioch.ox.ac.uk,5442789530,https://anenadic.github.io/2016-12-05-oxford/
2016-11-24-ttt-metoffice,"Nov 24-25, 2016",2016-11-24,2016-11-25,TTT,Met Office College,"Met Office, Exeter, EX1 3PB",craig.maclachlan@metoffice.gov.uk,"",https://steve-crouch.github.io/2016-11-24-ttt-metoffice/
2016-11-21-leeds,"Nov 21-22, 2016",2016-11-21,2016-11-22,DC,The University of Leeds,"IT Services Building, Room 8.03b (IT Meeting Room 1)",h.ford@leeds.ac.uk,28449314666,https://arcleeds.github.io/2016-11-21-leeds/
2016-11-10-uclhep,"Nov 10-11, 2016",2016-11-10,2016-11-11,SWC,University College London,"Room 2.23, Chadwick Building, UCL, Gower Street, London WC1E 6BT",b.waugh@ucl.ac.uk,"",https://ucl-hep.github.io/2016-11-10-uclhep/
