slug,humandate,start,end,tags,venue,address,latitude,longitude,contact,eventbrite_id,url
2017-03-02-manchester,"Mar 02-03, 2017",02/03/17,03/03/17,SWC,"EPSRC & MRC Centre for Doctoral Training in Regenerative Medicine, University of Manchester","C24 Sackville St Building, 60 Sackville St, Manchester M1 3WE",53.475809,-2.234747,"Jenefer.Cockitt@manchester.ac.uk, a.nenadic@manchester.ac.uk",,https://anenadic.github.io/2017-03-02-manchester/
2017-02-13-oxford,"Feb 13-14, 2017",13/02/17,14/02/17,SWC,University of Oxford,"The Oxford Research Centre in the Humanities, Woodstock Rd, Oxford OX2",51.760167,-1.262284,"mc983@cam.ac.uk, martin.hadley@it.ox.ac.uk",31594116854,https://rroxford.github.io/2017-02-13-oxford/
2017-01-26-imperial,"Jan 26-27, 2017",26/01/17,27/01/17,SWC,Imperial College London,"ICT Training Room, 204 Central Library Sherfield Building, Exhibition Road, South Kensington, London, SW7 2AZ",51.4988,-0.174877,liz.ing-simmons12@csc.mrc.ac.ukrob@beagrie.com,,https://rbeagrie.github.io/2017-01-26-imperial/
2017-01-18-bristol,"Jan 18-20, 2017",18/01/17,20/01/17,SWC,NERC / The University of Bristol,"School of Earth Sciences, University of Bristol, Wills Memorial Building, Queens Road,Bristol BS8 1RJ",51.456,-2.604,a.walker@leeds.ac.uk,28555929554,https://andreww.github.io/2017-01-18-bristol/
2017-01-18-CAM,"Jan 18-19, 2017",18/01/17,19/01/17,DC,University of Cambridge,"Bioinformatics Training Room, Craik-Marshall Building, Downing Site",52.201951,0.122514,Gabriella Rustici <gr231@cam.ac.uk>,,https://lgatto.github.io/2017-01-18-CAM/
2017-01-09-oxford,"Jan 09-10, 2017",09/01/17,10/01/17,SWC,University of Oxford,"The Oxford Research Centre in the Humanities, Woodstock Rd, Oxford OX2",51.760167,-1.262284,philip.fowler@ndm.ox.ac.ukiain.emsley@oerc.ox.ac.uk,30089327990,https://rroxford.github.io/2017-01-09-oxford/
2017-01-04-bristol,"Jan 04-06, 2017",04/01/17,06/01/17,SWC,NERC / The University of Bristol,"School of Earth Sciences, University of Bristol, Wills Memorial Building, Queens Road,Bristol BS8 1RJ",51.456,-2.604,a.walker@leeds.ac.uk,28537050085,https://andreww.github.io/2017-01-04-bristol/
2016-12-05-oxford,"Dec 05-07, 2016",05/12/16,07/12/16,SWC,"Medical Sciences Teaching Centre, University of Oxford","Medical Sciences Teaching Centre, Lower Ground Seminar Rooms (LGa and LGb), Sherard Road (off South Parks Road), Oxford, OX1 3PL",51.760109,-1.251356,a.nenadic@manchester.ac.ukmichal.gdula@bioch.ox.ac.uk,5442789530,https://anenadic.github.io/2016-12-05-oxford/
2016-11-24-ttt-metoffice,"Nov 24-25, 2016",24/11/16,25/11/16,TTT,Met Office College,"Met Office, Exeter, EX1 3PB",50.727622,-3.475646,craig.maclachlan@metoffice.gov.uk,,https://steve-crouch.github.io/2016-11-24-ttt-metoffice/
2016-11-21-leeds,"Nov 21-22, 2016",21/11/16,22/11/16,DC,The University of Leeds,"IT Services Building, Room 8.03b (IT Meeting Room 1)",53.805658,-1.554303,h.ford@leeds.ac.uk,28449314666,https://arcleeds.github.io/2016-11-21-leeds/
