,UKPRN,normalised_name,common_name,STREET_NAME,TOWN,POSTCODE,WEBSITE_URL,longitude,latitude,top_level_web_domain,region
0,10008640.0,FALMOUTH UNIVERSITY,University College Falmouth,Woodlane,Falmouth,TR11 4RH,http://www.falmouth.ac.uk/,-5.070901,50.149167999999996,falmouth.ac.uk,South West
1,10007774.0,UNIVERSITY OF OXFORD,University of Oxford,WELLINGTON SQUARE,OXFORD,OX1 2JD,http://www.ox.ac.uk/,-1.262868,51.757644,ox.ac.uk,South East
2,10007768.0,UNIVERSITY OF LANCASTER,University of Lancaster,,LANCASTER,LA1 4YW,http://www.lancs.ac.uk/,-2.786905,54.01048,lancs.ac.uk,North West
3,10000571.0,BATH SPA UNIVERSITY,Bath Spa University,,BATH,BA2 9BN,http://www.bathspa.ac.uk/,-2.4374,51.378739,bathspa.ac.uk,South West
4,10007814.0,CARDIFF UNIVERSITY,Cardiff University,PARK PLACE,CARDIFF,CF10 3AT,http://www.cardiff.ac.uk/,-3.179907,51.489093,cardiff.ac.uk,Wales
5,10007158.0,THE UNIVERSITY OF SOUTHAMPTON,The University of Southampton,UNIVERSITY ROAD,SOUTHAMPTON,SO17 1BJ,http://www.southampton.ac.uk/,-1.395675,50.93418,southampton.ac.uk,South East
6,10007779.0,THE ROYAL VETERINARY COLLEGE,The Royal Veterinary College,ROYAL COLLEGE STREET,LONDON,NW1 0TU,http://www.rvc.ac.uk/,-0.133498,51.536862,rvc.ac.uk,London
7,10007851.0,UNIVERSITY OF DERBY,University of Derby,KEDLESTON ROAD,DERBY,DE22 1GB,http://www.derby.ac.uk/,-1.496677,52.938545,derby.ac.uk,East Midlands
8,10000824.0,BOURNEMOUTH UNIVERSITY,Bournemouth University,FERN BARROW,POOLE,BH12 5BB,http://www.bournemouth.ac.uk/,-1.897159,50.742968,bournemouth.ac.uk,South West
9,10007162.0,"UNIVERSITY OF THE ARTS, LONDON","University of the Arts, London",HIGH HOLBORN,LONDON,WC1V 7EY,http://www.arts.ac.uk/,-0.117099,51.517742,arts.ac.uk,London
10,10007804.0,UNIVERSITY OF STIRLING,University of Stirling,,STIRLING,FK9 4LA,http://www.stir.ac.uk/,-3.9267870000000005,56.149207,stir.ac.uk,Scotland
11,10007823.0,EDGE HILL UNIVERSITY,Edge Hill University,ST. HELENS ROAD,ORMSKIRK,L39 4QP,http://www.edgehill.ac.uk/,-2.8733720000000003,53.559906000000005,edgehill.ac.uk,North West
12,10007160.0,UNIVERSITY OF SURREY,University of Surrey,,GUILDFORD,GU2 7XH,http://www.surrey.ac.uk/,-0.587925,51.242568,surrey.ac.uk,South East
13,10007791.0,UNIVERSITY OF ESSEX,University of Essex,WIVENHOE PARK,COLCHESTER,CO4 3SQ,http://www.essex.ac.uk/,0.945058,51.876569,essex.ac.uk,Eastern
14,10003945.0,THE LIVERPOOL INSTITUTE FOR PERFORMING ARTS,The Liverpool Institute for Performing Arts,Mount Street,Liverpool,L1 9HF,http://www.lipa.ac.uk/,-2.972271,53.399674,lipa.ac.uk,North West
15,10007802.0,UNIVERSITY OF READING,University of Reading,,READING,RG6 6UR,http://www.reading.ac.uk/,-0.9470879999999999,51.440564,reading.ac.uk,South East
16,10007806.0,UNIVERSITY OF SUSSEX,University of Sussex,SOUTHERN RING ROAD,BRIGHTON,BN1 9RH,http://www.sussex.ac.uk/,-0.087049,50.864464,sussex.ac.uk,South East
17,10007152.0,UNIVERSITY OF BEDFORDSHIRE,University of Bedfordshire,UNIVERSITY SQUARE,LUTON,LU1 3JU,http://www.beds.ac.uk/,-0.41138199999999997,51.87787,beds.ac.uk,Eastern
18,10007150.0,UNIVERSITY OF KENT,University of Kent,,CANTERBURY,CT2 7NZ,http://www.kent.ac.uk/,1.070918,51.298491,kent.ac.uk,South East
19,10007832.0,NEWMAN UNIVERSITY,Newman University College,GENNERS LANE,BIRMINGHAM,B32 3NT,http://www.newman.ac.uk/,-1.995022,52.434137,newman.ac.uk,West Midlands
20,10007788.0,UNIVERSITY OF CAMBRIDGE,University of Cambridge,TRINITY LANE,CAMBRIDGE,CB2 1TN,http://www.cam.ac.uk/,0.11664200000000001,52.205317,cam.ac.uk,Eastern
21,10001883.0,DE MONTFORT UNIVERSITY,De Montfort University,THE GATEWAY,LEICESTER,LE1 9BH,http://www.dmu.ac.uk/,-1.139356,52.63183299999999,dmu.ac.uk,East Midlands
