﻿Title:,"Table 5 - Research grants and contracts - breakdown by source of income and HESA cost centre"
Subtitle:,"Academic years 2015/16 to 2017/18"
Reference ID:,DT031 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2019
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre▼101 Clinical medicine,102 Clinical dentistry,103 Nursing & allied health professions,104 Psychology & behavioural sciences,105 Health & community studies,106 Anatomy & physiology,107 Pharmacy & pharmacology,108 Sports science & leisure studies,109 Veterinary science,110 Agriculture, forestry & food science,111 Earth, marine & environmental sciences,112 Biosciences,113 Chemistry,114 Physics,115 General engineering,116 Chemical engineering,117 Mineral, metallurgy & materials engineering,118 Civil engineering,119 Electrical, electronic & computer engineering,120 Mechanical, aero & production engineering,121 IT, systems sciences & computer software engineering,122 Mathematics,123 Architecture, built environment & planning,124 Geography & environmental studies,125 Area studies,126 Archaeology,127 Anthropology & development studies,128 Politics & international studies,129 Economics & econometrics,130 Law,131 Social work & social policy,132 Sociology,133 Business & management studies,134 Catering & hospitality management,135 Education,136 Continuing education,137 Modern languages,138 English language & literature,139 History,140 Classics,141 Philosophy,142 Theology & religious studies,143 Art & design,144 Music, dance, drama & performing arts,145 Media studies,201 Total academic services,202 Central administration & services,203 General educational expenditure,204 Staff & student facilities,207 Total research grants and contracts,Co-investment from external sources on funding council-funded projects (included in Heads 1 to 4 above)Total academic departments,Total administration & central services
,Academic year,2017/18 


"","","","","(£000s)","",""
"UKPRN","HE Provider","2 UK-based charities (open competitive process)","3 UK based charities (other)","4 UK central government bodies/local authorities, health and hospital authorities","5 UK central government tax credits for research and development expenditure","6 UK industry, commerce and public corporations","7 UK other sources","8 EU government bodies","9 EU-based charities (open competitive process)","10 EU industry, commerce and public corporations","11 EU (excluding UK) other","12 Non-EU-based charities (open competitive process)","13 Non-EU industry, commerce and public corporations","14 Non-EU other","15 Total"
"10007783","The University of Aberdeen","3,620","610","8,460","0","434","73","705","74","118","61","0","1,089","36","16,791"
"10007849","University of Abertay Dundee","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007856","Aberystwyth University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10000163","AECC University College","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10000291","Anglia Ruskin University","19","0","113","0","100","0","19","0","0","0","14","36","14","315"
"10007759","Aston University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007857","Bangor University","233","0","54","0","0","44","12","0","0","0","0","0","0","343"
"10000571","Bath Spa University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007850","The University of Bath","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007152","University of Bedfordshire","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10005343","Queen's University Belfast","9,731","50","10,611","0","741","0","2,854","26","476","28","116","89","356","30,214"
"10007760","Birkbeck College","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007140","Birmingham City University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10006840","The University of Birmingham","15,923","4,427","15,583","0","1,899","205","2,780","347","483","68","256","1,893","70","52,100"
"10000712","University College Birmingham","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007811","Bishop Grosseteste University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10006841","The University of Bolton","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10000385","The Arts University Bournemouth","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10000824","Bournemouth University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007785","The University of Bradford","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10000886","The University of Brighton","391","0","768","0","96","0","179","0","0","0","0","0","52","1,753"
"10000936","The University College of Osteopathy","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007786","The University of Bristol","9,416","0","14,992","0","161","733","1,682","115","65","351","583","304","1,358","40,052"
"10000961","Brunel University London","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10000975","Buckinghamshire New University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007787","The University of Buckingham","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007788","The University of Cambridge","84,347","4,357","35,306","0","4,278","300","11,235","269","747","224","4,663","2,115","10,396","209,543"
"10003324","The Institute of Cancer Research","14,509","(41)","6,037","0","1,155","0","670","0","1,149","186","341","1,362","333","27,257"
"10001143","Canterbury Christ Church University","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10007814","Cardiff University","11,775","285","11,820","0","823","104","1,394","41","177","97","1,906","562","576","37,299"
